date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus,date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
1/3/00,1.5172,1.805,1.4465,8.2798,7.329,7.7765,43.55,101.7,1128,3.8,9.402,1.9033,7.964,1.6563,6.126,72.3,8.443,1.5808,31.38,36.97,0.6146,0.65,0.9847,1/3/00,,,,,,,,,,,,,,,,,,,,,,,
1/4/00,1.5239,1.8405,1.4518,8.2799,7.218,7.7775,43.55,103.09,1122.5,3.8,9.457,1.9238,7.934,1.6535,6.085,72.65,8.36,1.5565,30.6,37.13,0.6109,0.65,0.97,1/4/00,,,,,,,,,,,,,,,,,,,,,,,
1/5/00,1.5267,1.856,1.4518,8.2798,7.208,7.778,43.55,103.77,1135,3.8,9.535,1.9339,7.935,1.656,6.07,72.95,8.353,1.5526,30.8,37.1,0.6092,0.652,0.9676,1/5/00,,,,,,,,,,,,,,,,,,,,,,,
1/6/00,1.5291,1.84,1.4571,8.2797,7.2125,7.7785,43.55,105.19,1146.5,3.8,9.567,1.9436,7.94,1.6655,6.08,72.95,8.3675,1.554,31.75,37.62,0.607,0.65,0.9686,1/6/00,,,,,,,,,,,,,,,,,,,,,,,
1/7/00,1.5272,1.831,1.4505,8.2794,7.2285,7.7783,43.55,105.17,1138,3.8,9.52,1.938,7.966,1.6625,6.057,73.15,8.415,1.5623,30.85,37.3,0.6104,0.651,0.9714,1/7/00,,,,,,,,,,,,,,,,,,,,,,,
1/10/00,1.5242,1.819,1.4568,8.2794,7.254,7.7785,43.55,105.28,1133.5,3.8,9.445,1.935,8.024,1.6618,6.0765,73.3,8.449,1.5704,30.83,37.27,0.6107,0.652,0.9754,1/10/00,,,,,,,,,,,,,,,,,,,,,,,
1/11/00,1.5209,1.8225,1.457,8.2795,7.214,7.7785,43.6,106.09,1147,3.8,9.483,1.9365,7.969,1.669,6.09,73.35,8.397,1.5605,30.83,37.61,0.6068,0.652,0.9688,1/11/00,,,,,,,,,,,,,,,,,,,,,,,
1/12/00,1.5202,1.835,1.455,8.2796,7.236,7.7787,43.6,105.76,1144.5,3.8,9.515,1.9286,7.977,1.669,6.0685,73.35,8.418,1.566,30.8,37.54,0.6073,0.653,0.9727,1/12/00,,,,,,,,,,,,,,,,,,,,,,,
1/13/00,1.4954,1.814,1.4495,8.2798,7.252,7.7788,43.55,106.09,1135.5,3.8,9.51,1.9084,7.9425,1.67,6.057,73.35,8.417,1.5707,30.8,37.49,0.6067,0.653,0.9737,1/13/00,,,,,,,,,,,,,,,,,,,,,,,
1/14/00,1.5004,1.805,1.4497,8.2797,7.347,7.7789,43.55,105.86,1125,3.8,9.455,1.9186,7.997,1.6752,6.075,73.35,8.474,1.5945,30.83,37.55,0.6115,0.651,0.9874,1/14/00,,,,,,,,,,,,,,,,,,,,,,,
1/18/00,1.506,1.7942,1.4502,8.2793,7.356,7.779,43.6,105.49,1127,3.8,9.441,1.9342,8.01,1.6735,6.089,72.85,8.468,1.5942,30.89,37.4,0.6105,0.653,0.988,1/18/00,,,,,,,,,,,,,,,,,,,,,,,
1/19/00,1.5074,1.793,1.4527,8.2797,7.3655,7.7798,43.6,105.39,1134,3.8,9.418,1.9399,8,1.6753,6.114,73.2,8.487,1.5965,30.85,37.4,0.6083,0.653,0.9886,1/19/00,,,,,,,,,,,,,,,,,,,,,,,
1/20/00,1.5002,1.7785,1.4484,8.2794,7.343,7.7795,43.6,105.45,1126,3.8,9.408,1.9486,7.977,1.6765,6.1,72.95,8.468,1.5915,30.85,37.28,0.6047,0.654,0.9869,1/20/00,,,,,,,,,,,,,,,,,,,,,,,
1/21/00,1.5103,1.78,1.442,8.2795,7.3725,7.7792,43.6,104.96,1128,3.8,9.447,1.9592,7.999,1.681,6.128,73.3,8.493,1.5973,30.85,37.23,0.6059,0.654,0.9901,1/21/00,,,,,,,,,,,,,,,,,,,,,,,
1/24/00,1.5281,1.768,1.44,8.2789,7.428,7.7795,43.62,105.52,1124.5,3.8,9.485,1.9759,8.026,1.6825,6.1675,72.95,8.526,1.609,30.85,37.3,0.6053,0.654,0.9981,1/24/00,,,,,,,,,,,,,,,,,,,,,,,
