date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
20030101,,,,,,,,,,,,,,,8.5850,,,,,,,,
20030102,1.7765,3.5425,1.5750,8.2800,7.1684,7.7988,48.05,119.86,1190.00,3.8000,10.354,1.9150,7.0020,1.7448,8.5400,96.750,8.7920,1.4015,34.740,43.170,0.6260,1.394,0.9652
20030103,1.7683,3.4306,1.5665,8.2768,7.1280,7.7990,48.03,119.85,1197.30,3.8000,10.375,1.9062,6.9560,1.7440,8.4400,96.750,8.7170,1.3975,34.760,43.000,0.6232,1.408,0.9599
20030106,1.7355,3.3390,1.5598,8.2800,7.0940,7.7993,48.01,119.06,1189.00,3.8000,10.414,1.8758,6.9170,1.7372,8.5200,96.750,8.6770,1.3928,34.600,42.800,0.6219,1.408,0.9552
20030107,1.7382,3.3130,1.5590,8.2767,7.1260,7.7999,48.00,120.18,1185.00,3.8000,10.321,1.8825,6.9320,1.7430,8.6224,96.850,8.6950,1.3983,34.550,42.850,0.6229,1.444,0.9598
20030108,1.7394,3.2950,1.5613,8.2766,7.1135,7.7997,48.00,119.35,1186.00,3.8000,10.368,1.8864,6.9235,1.7390,8.6200,96.850,8.6940,1.3963,34.590,42.720,0.6225,1.606,0.9572
20030109,1.7346,3.3090,1.5541,8.2766,7.1005,7.7993,47.96,119.57,1182.00,3.8000,10.415,1.8847,6.9160,1.7409,8.5700,96.800,8.7130,1.3943,34.510,42.760,0.6236,1.524,0.9554
20030110,1.7182,3.2940,1.5502,8.2767,7.0470,7.7993,48.00,119.44,1181.00,3.8000,10.468,1.8660,6.8760,1.7385,8.5300,96.750,8.6780,1.3860,34.540,42.800,0.6219,1.494,0.9492
20030113,1.7144,3.3070,1.5423,8.2768,7.0535,7.7990,47.96,119.03,1177.00,3.8000,10.540,1.8580,6.9520,1.7375,8.6650,96.800,8.6985,1.3868,34.510,42.790,0.6238,1.588,0.9492
20030114,1.7147,3.2650,1.5396,8.2800,7.0295,7.7991,47.95,117.96,1176.00,3.8000,10.534,1.8580,6.9375,1.7328,8.8400,96.800,8.6720,1.3840,34.480,42.600,0.6223,1.654,0.9460
20030115,1.7100,3.3200,1.5353,8.2770,7.0260,7.7990,47.97,117.91,1175.00,3.8000,10.493,1.8587,6.8940,1.7342,8.7537,96.800,8.6700,1.3829,34.440,42.700,0.6239,1.694,0.9455
20030116,1.7036,3.2890,1.5366,8.2771,7.0270,7.7990,47.96,118.02,1171.00,3.8000,10.510,1.8413,6.8720,1.7333,8.8700,96.800,8.6760,1.3828,34.400,42.690,0.6222,1.733,0.9462
20030117,1.6923,3.3730,1.5355,8.2771,6.9715,7.7992,47.96,117.88,1173.50,3.8000,10.582,1.8146,6.8290,1.7330,8.8800,96.800,8.6245,1.3678,34.420,42.740,0.6183,1.780,0.9381
20030120,,,,,,,,,,,,,,,8.8800,,,,,,,,
20030121,1.7044,3.4610,1.5332,8.2771,6.9630,7.7995,47.97,118.57,1178.00,3.8000,10.683,1.8392,6.9510,1.7355,9.0450,96.800,8.6560,1.3687,34.630,42.830,0.6202,1.893,0.9366
20030122,1.7059,3.5120,1.5324,8.2771,6.9350,7.7994,47.93,118.15,1176.90,3.8000,10.853,1.8392,6.8940,1.7330,8.9800,96.800,8.6230,1.3629,34.590,42.750,0.6187,1.924,0.9321
20030123,1.6926,3.5305,1.5240,8.2771,6.9070,7.7994,47.92,117.83,1166.10,3.8000,10.779,1.8258,6.9345,1.7308,8.7350,96.800,8.6000,1.3580,34.610,42.720,0.6160,1.924,0.9288
20030124,1.6886,3.6160,1.5220,8.2768,6.8700,7.7996,47.90,117.80,1166.10,3.8000,10.838,1.8175,6.8725,1.7310,8.7400,96.820,8.5250,1.3528,34.550,42.690,0.6127,1.924,0.9238
20030127,1.6961,3.6590,1.5246,8.2768,6.8625,7.8000,48.10,118.64,1164.60,3.8000,10.898,1.8208,6.8975,1.7310,8.7500,96.840,8.5250,1.3554,34.510,42.700,0.6116,1.924,0.9227
20030128,1.6987,3.6380,1.5359,8.2767,6.8650,7.7996,47.92,118.67,1173.00,3.8000,10.898,1.8275,6.8990,1.7330,8.7650,96.820,8.5330,1.3560,34.700,42.680,0.6098,1.924,0.9231
20030129,1.6926,3.6170,1.5235,8.2768,6.8450,7.8000,47.83,118.13,1168.00,3.8000,10.978,1.8208,6.8725,1.7308,8.5810,96.900,8.4750,1.3512,34.610,42.700,0.6076,1.924,0.9207
20030130,1.7030,3.5630,1.5310,8.2800,6.9000,7.8000,47.85,119.22,1165.00,3.8000,10.868,1.8352,6.8950,1.7390,8.6450,96.850,8.5150,1.3629,34.650,42.780,0.6067,1.924,0.9280
20030131,1.7065,3.5130,1.5286,8.2768,6.9255,7.8001,47.83,119.96,1165.00,3.8000,10.902,1.8382,6.9660,1.7396,8.5000,96.950,8.6140,1.3683,34.610,42.770,0.6080,1.924,0.9312
20030203,1.7114,3.5350,1.5207,8.2768,6.9100,7.8000,47.80,120.47,1184.00,3.8000,10.896,1.8386,6.9600,1.7423,8.5521,96.850,8.5650,1.3631,34.610,42.820,0.6096,1.924,0.9293
20030204,1.6932,3.5580,1.5146,8.2800,6.8345,7.8000,47.82,119.75,1177.00,3.8000,10.992,1.8232,6.9130,1.7378,8.3400,96.850,8.4930,1.3493,34.740,42.700,0.6068,1.924,0.9195
20030205,1.6943,3.5740,1.5195,8.2800,6.8650,7.7997,47.77,119.78,1174.30,3.8000,10.865,1.8225,6.9650,1.7425,8.3900,96.880,8.5350,1.3540,34.740,42.770,0.6077,1.924,0.9223
20030206,1.6920,3.6060,1.5213,8.2800,6.8650,7.7998,47.80,119.93,1173.00,3.8000,10.868,1.8235,6.9210,1.7400,8.3500,96.860,8.4750,1.3541,34.680,42.790,0.6115,1.600,0.9235
